"Post ID","Page ID","Page name",Title,Description,"Duration (sec)","Publish time","Caption type",Permalink,"Is crosspost","Is share","Post type",Languages,"Custom labels","Funded content status","Data comment",Date,Impressions,Reach,"Reactions, Comments and Shares",Reactions,Comments,Shares,"Total clicks","Other Clicks","Matched Audience Targeting Consumption (Photo Click)","Link Clicks","Impressions from Unpaid posts","Impressions from Boosted posts","Reach from Organic posts","Reach from Boosted posts","3-second video views","1-minute video views","3-Second viewers","1-minute viewers","3-second video views from Boosted posts","3-second video views from Organic posts","Engaged users","Negative feedback from users","Unique negative feedback from users","Negative feedback from users: Hide all","Negative feedback from users: Hide","Unique negative feedback from users: Hide all","Unique negative feedback from users: Hide"
537043605091349,100063571427253,"Jean-Pierre Weill - 3D painting on glass","The Holiday Sukkot is coming right up! 

Our top pick as a gift for your host is “Fiddler on the Roof”

Check out our story and highlight for links and more!",,0,"10/07/2022 10:10",N/A,https://www.facebook.com/jeanpierreweill/posts/pfbid0rbNcQ9gMJFXcZmoUDPJ3utJWg5CSZzfmPvZnyufn1JEBxXfgcuZ6rKineGSYsTWUl,0,0,Photos,,,,,Lifetime,2082,1985,37,34,2,1,100,33,67,,2082,0,1985,0,0,0,0,0,0,0,105,0,0,,,,
615810117214697,100063571427253,"Jean-Pierre Weill - 3D painting on glass","The Jean Pierre Weill Studios team wishes you a Happy New Year! ✨ 

#jeanpierreweill #artfamily #artwork #artstudio #glasspainting",,0,"12/30/2022 08:12",N/A,https://www.facebook.com/jeanpierreweill/posts/pfbid0uhngnxW2xwBubam7hGSen3RikCoeSHK2CxLv4YnrFGSnZQaCZSTqri5hi2c8KyKul,0,0,Photos,,,,,Lifetime,1120,1071,33,31,2,0,38,20,18,,1120,0,1071,0,0,0,0,0,0,0,50,0,0,,,,
608863541242688,100063571427253,"Jean-Pierre Weill - 3D painting on glass","Thank you for supporting our art studio. We hope that during this time, you can be surrounded by the ones you love the most. 

Happy Holidays. ✨ 

- Jean Pierre Weill Studio. 🎨 

#jeanpierreweill #glasspainting #artstudio #artwork #artfamily",,0,"12/22/2022 14:12",N/A,https://www.facebook.com/jeanpierreweill/posts/pfbid02FBgBHkzKskiKAR8E9PZq6bbPPUNRaZWvGzEbVar6xUej35kiLTUJf6M1XYrt3xREl,0,0,Photos,,,,,Lifetime,1273,1245,34,30,4,0,21,16,5,,1273,0,1245,0,0,0,0,0,0,0,41,1,1,1,,1,
606852768110432,100063571427253,"Jean-Pierre Weill - 3D painting on glass","We have a surprise for you! 🎁 
 
We know how important it is for you to show your loved ones how much you love them. For that reason, we have decided to discount our Petite and Classique Collection with 15% off. 🎄 
 
Visit our website now and find the best gift.
 
Only between December 22nd and 26th.
 
Link in our Bio! 🛒 
 
#jeanpierreweill #glasspainting #artwork #artfamily #artstudio",,0,"12/20/2022 11:12",N/A,https://www.facebook.com/jeanpierreweill/posts/pfbid022qhH4JayKmdEQ9ScPqxTd3XvTxa2x7fojBtqXUq2T1AsbUig1edyPdNM1sGcMknZl,0,0,Photos,,,,,Lifetime,497,471,2,2,0,0,4,1,3,,497,0,471,0,0,0,0,0,0,0,5,0,0,,,,
602643068531402,100063571427253,"Jean-Pierre Weill - 3D painting on glass","This is the time of year in which we celebrate light. Light is a symbol of hope and clarity. 
 
Our inner light intensifies when we acknowledge and honor it. ✨ 
 
Honor the loved ones in your life this holiday season by giving them art. For this reason, our Classique Collection is 35% OFF using the code LIGHT35, only this weekend.
 
Shipping is free wherever you are, visit our website: jeanpierreweill.com 🛒 
 
Happy Holidays! 🎄 
 
#jeanpierreweill #glasspainting #artwork #artfamily #artstudio",,0,"12/16/2022 07:12",N/A,https://www.facebook.com/jeanpierreweill/posts/pfbid029QjEEBDYZodQgtXN7gtBAtJTfCsNac6KmV1ipaqeYZz3135Fh6gFDgSHTS1PEynSl,0,0,Photos,,,,,Lifetime,899,826,8,8,0,0,20,5,6,9,899,0,826,0,0,0,0,0,0,0,20,0,0,,,,
592549299540779,100063571427253,"Jean-Pierre Weill - 3D painting on glass","Creative minds are at work here!
 
Our studio is where we get to be creative and have fun while working together. It's our safe space where ideas flow and we can do what we love most—create!
 
#jeanpierreweill #glasspainting #artwork #artstudio #artfamily",,0,"12/06/2022 09:12",N/A,https://www.facebook.com/jeanpierreweill/posts/pfbid02yfjUKagXYzNNiFmfFQyb3PnxSGDqbh9knHCCCSqxG5hXcb4AMqpyMX9DzNeiBYJl,0,0,Photos,,,,,Lifetime,2545,2313,68,67,0,1,164,35,129,,2545,0,2313,0,0,0,0,0,0,0,191,0,0,,,,
588123049983404,100063571427253,"Jean-Pierre Weill - 3D painting on glass","Colorful and vibrant, our paintings are full of insight and emotion. 🖌️ 

Follow us to watch the process and see each brushstroke turn into a masterpiece. ✨

#jeanpierreweill #glasspainting #artwork #artstudio #artfamily",,0,"12/01/2022 08:12",N/A,https://www.facebook.com/jeanpierreweill/posts/pfbid02fSxW7LWAqwaWyrXULg7dD1jZVLHpVqvjM8zBp83FxoPv4GqDfg4ihqMYCVthY22dl,0,0,Photos,,,,,Lifetime,1651,1560,49,45,1,3,47,26,20,1,1651,0,1560,0,0,0,0,0,0,0,82,0,0,,,,
581316373997405,100063571427253,"Jean-Pierre Weill - 3D painting on glass","The holidays are on their way and we know it's important for you to show your loved ones how much you love them. ❤️ 

That's why our discounts are available NOW, so the gifts you choose for your loved ones will arrive just in time. 🎄  Give the gift of art and shop now on https://jeanpierreweill.com/ 🎨 

#jeanpierreweill #artstudio #artfamily #artwork #blackfriday #blacknovember",,0,"11/23/2022 12:11",N/A,https://www.facebook.com/jeanpierreweill/posts/pfbid0DSSSu7FQiBywiNdRUntBF78w747p1sWgYD4Lxrf2yHktt6gchULyEwecP5JFswkVl,0,0,Photos,,,,,Lifetime,776,736,2,1,0,1,7,,2,5,776,0,736,0,0,0,0,0,0,0,7,2,2,2,,2,
580274997434876,100063571427253,"Jean-Pierre Weill - 3D painting on glass","In our family art studio, we're grateful for you, who support us and help us do what we love. This Thanksgiving, we invite you to express gratitude for something in your own family. Consider, not only what you are grateful for, but why. From all of us here at the family art studio, Happy Thanksgiving! ❤️🎨

#jeanpierreweill #glasspainting #artstudio #artfamily #artwork",,0,"11/22/2022 07:11",N/A,https://www.facebook.com/jeanpierreweill/posts/pfbid0aHWDvqvJh145pLeapmbYhMaZttBKhFrQSChvJDUVe1CyVdgJBP2VsWxqNwyz94Xil,0,0,Photos,,,,,Lifetime,1621,1558,52,45,6,1,54,35,19,,1621,0,1558,0,0,0,0,0,0,0,81,1,1,,1,,1
568413998620976,100063571427253,"Jean-Pierre Weill - 3D painting on glass","As a multigenerational family studio, we understand the needs of our customers. This year, we specifically started the Black Friday sales earlier so that you have time to shop and receive everything without worrying about shipping delays. 🎄 🛒 

Shop on our website (jeanpierreweill.com! 🛒 

#jeanpierreweill #glasspainting #artwork #artfamily #artstudio #blacknovember #blacksale",,0,"11/09/2022 10:11",N/A,https://www.facebook.com/jeanpierreweill/posts/pfbid0YAXvte65M1PRXdWyLuefh6BBwkcTzahrhqu5pN1QEkVHRsCP2i1NSsyviHHaKjEml,0,0,Photos,,,,,Lifetime,814,786,7,5,1,1,16,3,8,5,814,0,786,0,0,0,0,0,0,0,19,0,0,,,,
561856545943388,100063571427253,"Jean-Pierre Weill - 3D painting on glass","Two important things are coming up - Black Friday and holiday shopping! We're starting our BIGGEST sale of the year NOW so that you have time to shop and receive everything without worrying about shipping delays during this busy time. 🛒

Black November Sale:

Gallery Editions: 40% off
Classique Collection: $100 off
Petite Collection: 25% off
Mini Collection: 10% off

#jeanpierreweill #glasspainting #blacknovember #discounts #artwork #artstudio #artfamily",,0,"11/02/2022 07:11",N/A,https://www.facebook.com/jeanpierreweill/posts/pfbid028pKxeLUY8ZEY3gMxZGcApHJD81SgPCtLjFvWMsEHB7PXDy43cY34SYjrnBbTu4cxl,0,0,Photos,,,,,Lifetime,567,521,1,1,0,0,26,14,12,,567,0,521,0,0,0,0,0,0,0,18,0,0,,,,
553219916807051,100063571427253,"Jean-Pierre Weill - 3D painting on glass","The colors of autumn inspire us. The leaves swirling in the breeze, the changing light. There is something about this time of year that feels fresh for new beginnings. A time to reflect on the past year and set intentions for the next one.

Art has a way of helping us see things in a new light, of giving us a fresh perspective. Take some time to create something new. 

At this time of the year, our creativity is at its peak, with all the scents, colors and textures. Does this also happen to you?

#jeanpierreweill #autumn #creativity #glasspainting #artfamily #artstudio",,0,"10/24/2022 08:10",N/A,https://www.facebook.com/jeanpierreweill/posts/pfbid04W24j3XFjnrRmDCPCPXS8TtDhRk6gCNkBnMcFZcmiJ6VSH3GreH2UcKDJqPboMcml,0,0,Photos,,,,,Lifetime,946,895,26,13,3,10,87,55,32,,946,0,895,0,0,0,0,0,0,0,81,0,0,,,,
